category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Human Diseases	Infectious disease: parasitic	hsa05144	Malaria	8/93	50/9423	0.16	16.2116129032258	10.7669615266917	2.53601866723981e-08	5.27491882785881e-06	1.18449814103917e-06	ICAM1/SELP/IL6/PECAM1/SELE/HBB/CD36/CCL2	8
Human Diseases	Cardiovascular disease	hsa05417	Lipid and atherosclerosis	12/93	216/9423	0.0555555555555556	5.62903225806452	6.87116240590375	1.2610153317089e-06	0.000131145594497725	2.9449119115846e-05	ICAM1/SELP/NCF2/IL6/OLR1/TNFSF10/MMP1/AGER/SELE/CD36/PPARG/CCL2	12
Human Diseases	Endocrine and metabolic disease	hsa04933	AGE-RAGE signaling pathway in diabetic complications	8/93	101/9423	0.0792079207920792	8.02555094219099	7.08693953036961	6.33153129306746e-06	0.000438986169652677	9.85756025570107e-05	ICAM1/COL3A1/IL6/AGER/THBD/SELE/AGTR1/CCL2	8
Organismal Systems	Endocrine system	hsa03320	PPAR signaling pathway	7/93	77/9423	0.0909090909090909	9.21114369501466	7.22284556230841	9.95565269724006e-06	0.000517693940256483	0.000116249658027432	ACADL/OLR1/LPL/MMP1/CD36/PPARG/FABP4	7
Cellular Processes	Transport and catabolism	hsa04148	Efferocytosis	9/93	157/9423	0.0573248407643312	5.80830080131498	6.06551260223205	2.29167457482667e-05	0.000953336623127895	0.00021407447104507	SLC2A1/PTGS2/ALOX5/AGER/PROS1/S1PR1/PECAM1/CD36/PPARG	9
Human Diseases	Cardiovascular disease	hsa05418	Fluid shear stress and atherosclerosis	8/93	142/9423	0.0563380281690141	5.7083144025443	5.64396671436009	7.55682083928025e-05	0.00261969789095049	0.000588260669629047	ICAM1/NCF2/THBD/PECAM1/SELE/NQO1/CCL2/CAV1	8
Environmental Information Processing	Signaling molecules and interaction	hsa04061	Viral protein interaction with cytokine and cytokine receptor	6/93	100/9423	0.06	6.07935483870968	5.09803618292278	0.000444612531257453	0.010823495889167	0.00243044702272082	CXCR2/IL6/TNFSF10/CCL2/IL18R1/CXCL13	6
Human Diseases	Infectious disease: parasitic	hsa05143	African trypanosomiasis	4/93	37/9423	0.108108108108108	10.9537925021796	6.05649513362294	0.000457697507570436	0.010823495889167	0.00243044702272082	ICAM1/IL6/SELE/HBB	4
Cellular Processes	Cell motility	hsa04820	Cytoskeleton in muscle cells	9/93	233/9423	0.0386266094420601	3.91374775024228	4.49618692532142	0.000468324341358188	0.010823495889167	0.00243044702272082	CAPN3/COL3A1/COL5A2/DSG2/DSP/COL5A1/TNNC1/FHL1/SGCG	9
Human Diseases	Cardiovascular disease	hsa05415	Diabetic cardiomyopathy	8/93	205/9423	0.0390243902439024	3.95405192761605	4.26922364655823	0.000915170704600733	0.0190355506556952	0.0042744874568014	PDK4/SLC2A1/COL3A1/NCF2/PLN/AGER/AGTR1/CD36	8
Environmental Information Processing	Signal transduction	hsa04668	TNF signaling pathway	6/93	119/9423	0.0504201680672269	5.10870154513418	4.50313977645105	0.00111439747046398	0.0210722430778643	0.00473183257748585	ICAM1/IL6/PTGS2/SELE/CCL2/IL18R1	6
Organismal Systems	Immune system	hsa04610	Complement and coagulation cascades	5/93	89/9423	0.0561797752808989	5.69227981152592	4.4403500604738	0.00181614901810055	0.0314799163137428	0.00706890543163732	CFD/PROS1/THBD/VWF/CLU	5
Organismal Systems	Endocrine system	hsa04923	Regulation of lipolysis in adipocytes	4/93	60/9423	0.0666666666666667	6.75483870967742	4.46450662806038	0.00284351108926607	0.0454961774282571	0.0102162970363724	MGLL/PTGS2/ADRB2/FABP4	4
