id	logFC	AveExpr	t	P.Value	adj.P.Val	B
AGER	-2.87088977803662	4.68378930280702	-22.3983247251083	3.32912525910514e-80	2.08869318756256e-76	172.026201819367
GPM6A	-1.89644273968609	3.64317373173684	-21.1186948865916	1.39236343447955e-73	2.91189606264157e-70	156.874428924161
S1PR1	-1.31628777411976	4.84382537070175	-20.4243465039033	5.22930467257606e-70	5.96521045740767e-67	148.694192529435
FABP4	-2.37875918470093	4.36328827345614	-20.3640063232218	1.06731504477866e-69	1.11605576515688e-66	147.985140347905
EDNRB	-2.17272380302319	4.82846976924561	-20.3196763220726	1.80234928122697e-69	1.73968298314123e-66	147.464427525571
TNNC1	-2.58439901495616	4.14418530663158	-19.723579937796	2.03058605141814e-66	1.34104177753657e-63	140.480818395496
VWF	-1.07868395771634	5.41486627733333	-19.6107799543787	7.64362588997727e-66	4.56724846035404e-63	139.163466377693
FXYD1	-1.46199643632141	4.724434958	-19.5645035933838	1.31610898467216e-65	7.50660706348469e-63	138.623435115529
ACADL	-1.85428123677036	3.77746651650877	-19.5157914342444	2.33125756480513e-65	1.21885916346561e-62	138.055244743859
FHL1	-2.11199762826923	5.54656653584211	-18.7187243509374	2.5827390761359e-61	8.10205248183833e-59	128.800318265826
CD36	-1.37791663853436	4.19826712370175	-18.3760311418301	1.37764868470533e-59	3.60140326993385e-57	124.84850799391
PECAM1	-1.18372097259049	5.96907815787719	-18.1243538776398	2.52589015026592e-58	5.65979814384585e-56	121.958004868561
NME1	1.33266605486778	7.35076092877193	18.0416074099194	6.55783447380944e-58	1.37146178295601e-55	121.009958781274
CFD	-1.98131206697187	5.94898679298246	-17.7884874503808	1.20515332741369e-56	2.22386234593926e-54	118.117279087796
CAV1	-1.99395819953054	7.01762350854386	-17.7279527874459	2.41359953023279e-56	4.20636762574458e-54	117.427180826534
STX11	-1.33111792239041	3.86687091540351	-17.6843608495402	3.97821289012506e-56	6.83816648565607e-54	116.930647345053
ADRB2	-1.82921402021775	5.06502046310526	-16.9433430558662	1.83769706676044e-52	2.45313008443724e-50	108.54689098006
HSPB8	-1.12255345350891	4.95234009036842	-16.6488997573297	5.08752147424482e-51	6.25864896655137e-49	105.247727893814
PAFAH1B3	1.22450769813136	6.09176810817544	16.5323427757322	1.88393909629689e-50	2.18885812780865e-48	103.947185259787
SELP	-1.11143466063418	4.87806892994737	-16.5059530914557	2.53281829227784e-50	2.88925490286385e-48	103.653170601866
FGR	-1.32520894905119	5.25908505905263	-16.4965396205581	2.81473398461538e-50	3.15350732490659e-48	103.548332382524
GPX3	-1.97916994863616	7.3105462132807	-16.0930516945559	2.54237231373872e-48	2.52126641357258e-46	99.0749129229643
SGCG	-1.22885068943368	3.68968613280702	-15.9174575016033	1.78176970941525e-47	1.64394458189283e-45	97.1409383518284
ABCA6	-1.04773325351032	3.29594766280702	-15.7321345650959	1.37880580587849e-46	1.17695613960295e-44	95.1086426191645
HBB	-1.84201597932197	6.9000457775614	-15.4600734331586	2.73348544585852e-45	2.06625152859233e-43	92.1422109631854
PLA2G1B	-2.17296668114466	4.04177291889474	-15.4400152614291	3.40408028885783e-45	2.54252377765405e-43	91.924331418745
ABCA3	-1.63728386549349	5.67310861759649	-15.070506107187	1.89760287346732e-43	1.19653873649588e-41	87.9316469794003
CDKN3	1.9288853910888	5.53575362733333	15.0455774077588	2.48528852419164e-43	1.55151245778889e-41	87.66375581138
PYCR1	1.08304437322327	5.85075250949123	15.0415594019679	2.59570196830786e-43	1.61241922268945e-41	87.6205949417267
CAPN3	-1.06498606032947	4.1027256931579	-15.0219314981507	3.20954106313971e-43	1.98390745124518e-41	87.4098259279161
SFTPC	-3.29559276713306	6.99874366457895	-15.0081009082009	3.72710472519488e-43	2.25930966626789e-41	87.2613810091505
WIF1	-3.20691517219174	4.96189917168421	-14.787822322975	3.9996009557852e-42	2.11520415784892e-40	84.9051554810228
SLC27A3	-1.00018738100043	5.76108729401754	-14.7037379705545	9.8555759364047e-42	4.98660350201638e-40	84.0098022639118
LIMCH1	-1.46926522851739	5.73696665754386	-14.6874010501894	1.17399248446626e-41	5.89250307803305e-40	83.8361070902059
ALOX5	-1.03974949095871	4.59482282340351	-14.5609911909129	4.53241023369515e-41	2.1374022439314e-39	82.4950575444475
HYAL1	-1.56133275153705	4.92224889592982	-14.5587259361844	4.64324394656159e-41	2.17400839706921e-39	82.4710740293357
THBD	-1.43572393320489	5.32557350219298	-14.4930606612202	9.34657763684355e-41	4.20361491710082e-39	81.7765810299521
AQP4	-2.21533825399674	4.23910384247368	-14.4199744650041	2.03276866418482e-40	8.73533602677777e-39	81.0053014860673
PLSCR4	-1.19156940860436	5.82242539798246	-14.3842964912665	2.96844291963046e-40	1.26264480527196e-38	80.6294474498533
FEN1	1.21016274671451	5.90297196980702	14.2919805427579	7.89124858192781e-40	3.26796657445644e-38	79.6589521726403
KIF14	1.63303622536623	4.64724438892982	14.2209134233141	1.67171864715889e-39	6.70182926023952e-38	78.9138446056279
OLR1	-2.09926908042986	4.61256685561403	-14.1435858174769	3.77604138979138e-39	1.47148345835721e-37	78.1051034064476
AGTR1	-1.48802491288038	3.83945620782456	-14.0973717696528	6.13891650600714e-39	2.35569187514916e-37	77.6227749091303
SFTPD	-2.84875132104778	6.70674795666667	-14.0677796097935	8.37653476325057e-39	3.16592645208639e-37	77.3143252131582
AOX1	-1.07901151895786	4.36122549557895	-13.9194310251742	3.95960873308782e-38	1.41783928741362e-36	75.7727811665879
FANCI	1.18615795672723	4.93435076508772	13.8773293800986	6.14432323083929e-38	2.13570548201029e-36	75.3367452727755
KLF4	-1.66822849267959	5.86821997494737	-13.8377742721485	9.27893604325159e-38	3.10485571921923e-36	74.9276770572498
RRAS	-1.01314694096224	6.08867523384211	-13.7569303350016	2.15088131422238e-37	6.93811278428341e-36	74.093414850598
PCOLCE2	-1.76738863068086	4.42791023061404	-13.7469568994542	2.38554208756915e-37	7.63616890684125e-36	73.990663756334
LPL	-2.14956378542421	6.16681364391228	-13.7177588252935	3.22960968332924e-37	1.02078444096764e-35	73.6900658244086
RNASEH2A	1.20133962274745	5.87706475003509	13.6782909408015	4.86147195489689e-37	1.52504375225116e-35	73.2842492365532
DSP	1.76559932972355	7.73496980917544	13.6124042960587	9.6097424080834e-37	2.90561560811158e-35	72.6081054701617
TYMS	1.10899702965922	5.25966715175439	13.5650368520934	1.56686583829832e-36	4.64799823616248e-35	72.1230342990084
ZFP36	-1.3376890867032	7.38611657159649	-13.5594443603512	1.65987407634812e-36	4.90072939059205e-35	72.0658206899097
IL18R1	-1.01790493125778	3.71250993108772	-13.5236170170234	2.40097577768474e-36	6.95783927445452e-35	71.6995776569243
NCAPG	1.52721837717265	4.42704348664912	13.5148760109398	2.6270465813813e-36	7.57797252946495e-35	71.6102985154542
CD52	-1.63729109398473	6.33782152015789	-13.1905164374406	7.25259602092608e-35	1.85725663001185e-33	68.3186001070198
PROS1	-1.2309555931858	5.88336419278947	-13.1849876989396	7.67183127463902e-35	1.95266001692029e-33	68.2628573404599
PPARG	-1.2600578183562	4.52269952992982	-13.178954778592	8.15688088689806e-35	2.05940727100195e-33	68.2020453873288
STIL	1.25245179337881	4.89172208973684	12.88235151704	1.63144357869084e-33	3.70187233732599e-32	65.230760772302
SLC7A7	-1.04933534172653	6.46333603317544	-12.6165282874604	2.31749308836208e-32	4.81455352198135e-31	62.5994084002913
RACGAP1	1.28293888372455	6.00751686175439	12.5883422884226	3.06508678478113e-32	6.29471505326246e-31	62.3221959943183
E2F8	1.35423401900029	4.07785610670175	12.5254590434062	5.71214502142655e-32	1.13952298456058e-30	61.7049940694371
EZH2	1.56564043790795	4.904594373	12.4941449463542	7.78302271155283e-32	1.53074246057312e-30	61.3982981317525
GPD1L	-1.03244184575509	6.39034362854386	-12.465901921861	1.02839585294743e-31	2.00377502527707e-30	61.1220553979314
MAL	-1.20161809611991	4.63582183752632	-12.309510510843	4.78031010934932e-31	8.91282782349409e-30	59.5988938796212
PLOD2	1.34920336873657	6.41760552522807	12.2684743286088	7.14102034990626e-31	1.30810982993611e-29	59.2010640027043
NCF2	-1.35090297098133	5.6122822805614	-12.2544544776704	8.18907129222486e-31	1.48706898082254e-29	59.0653237490955
SLC2A1	1.33674028481618	4.86091098845614	12.1369314395567	2.57189413917551e-30	4.45132795287921e-29	57.9310315080742
IL7R	-1.4421223627828	6.22680010903509	-11.928496673006	1.92715469644983e-29	3.07658233219498e-28	55.9351892786705
TSPAN7	-1.55778239529765	5.73338999715789	-11.8046692805389	6.31429297824285e-29	9.66240832816967e-28	54.7593044319933
DSG2	1.33311023374151	6.77809284424561	11.7667134433937	9.07131611216534e-29	1.36483063040109e-27	54.4003561691376
